id,sidoName,stationName,pm10Value,timestamp
108,서울,도산대로,39,2025-07-13 08:00:00.000
109,서울,강남대로,30,2025-07-13 08:00:00.000
110,서울,송파구,35,2025-07-13 08:00:00.000
111,서울,강동구,38,2025-07-13 08:00:00.000
112,서울,천호대로,38,2025-07-13 08:00:00.000
113,서울,금천구,35,2025-07-13 08:00:00.000
114,서울,시흥대로,47,2025-07-13 08:00:00.000
115,서울,강북구,27,2025-07-13 08:00:00.000
116,서울,양천구,46,2025-07-13 08:00:00.000
117,서울,노원구,38,2025-07-13 08:00:00.000
118,서울,화랑로,36,2025-07-13 08:00:00.000
